gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
863183518				CC_BY_NC_4_0	2023-08-09T09:30:31Z		http://mczbase.mcz.harvard.edu/guid/MCZ:Ich:90703	President and Fellows of Harvard College		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ich		Museum of Comparative Zoology, Harvard University	PRESERVED_SPECIMEN			"{""age class"":""adult"", ""associated grant"":""Preserving the genomes of the type specimens in the MCZ (CSBR)"", ""part of group"":""Hassler Expedition"", ""part of group"":""Preserving the Genomes of the Type Specimens in the MCZ (CSBR)"", ""standard length"":""470mm""}"	MCZ:Ich:90703	90703		Hassler Expedition		1				Adult								migration	PRESENT	whole animal (alcohol); tissue (95% ethanol)	in collection					field number=HASS:JAMES;group number=476;previous number=MCZ24198	age class: adult; associated grant: Preserving the genomes of the type specimens in the MCZ (CSBR); standard length: 470mm														HASS:JAMES	1872-06-15/1872-06-16		167	168	1872	6		15 June 1872, 16 June 1872										Pacific Ocean: Pacific, Southeast: Ecuador: Galápagos: Galapagos Archipelago		Pacific, Southeast	Galapagos Archipelago		EC	Galápagos			James Island	James Island, Galápagos								-0.25312	-90.93027	20817.0	1.0E-5		decimal degrees					Andrew D. Williston		GEOLocate	J.H. Blake Hassler expedition Journal	Georeferenced for Hassler Expedition passage through Galapagos (Isla Santiago)																						HOLOTYPE	Phillip C. Heemstra					In: Bull US Fish Comm 8 [1888]:367. New number assigned in 1989 to separate ex. from HT of M. xenarcha (KEH).   Eschmeyer suggests HT of above subspecies (1993).									Mycteroperca olfax var. ruberrima Jordan & Bollman, 1890							Animalia Chordata Craniata Acanthopterygii Gnathostomata Osteichthyes Neopterygii Actinopterygii Perciformes Serranoidei Serranidae Mycteroperca olfax ruberrima	Animalia	Chordata		Perciformes		Serranidae				Mycteroperca	Mycteroperca			olfax	ruberrima		VARIETY			ICZN	ACCEPTED			4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2024-07-16T23:51:27.334Z						INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	9179184	9179184	1	44		587	8597	2388983		2389031	Mycteroperca olfax	Mycteroperca olfax var. ruberrima Jordan & Bollman, 1890	Mycteroperca olfax ruberrima Jordan & Bollman in J & E 1890	Mycteroperca olfax ruberrima	EML	2024-07-16T23:51:27.334Z	2024-07-16T22:44:34.127Z	true			false	LATIN_AMERICA	NORTH_AMERICA									
863105970				CC_BY_NC_4_0	2023-08-09T09:22:04Z		http://mczbase.mcz.harvard.edu/guid/MCZ:Ich:24200	President and Fellows of Harvard College		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ich		Museum of Comparative Zoology, Harvard University	PRESERVED_SPECIMEN			"{""age class"":""adult"", ""part of group"":""Hassler Expedition""}"	MCZ:Ich:24200	24200		Hassler Expedition		1				Adult								unverified	PRESENT	whole animal (alcohol)	unknown					field number=HASS:INDEFT;group number=476	age class: adult														HASS:INDEFT	1872-06-17/1872-06-18		169	170	1872	6		June 17, 72									https://marineregions.org/mrgid/8742	Pacific Ocean: Pacific, Southeast	SOUTH_AMERICA	Pacific, Southeast			EC				Galápagos Archipelago, Indefatigable Is.	Galápagos Archipelago, Indefatigable Is.								-0.53386	-90.54958		1.0E-5		decimal degrees					Andrew D. Williston		Google Earth	Blake Journal	Georeferenced for Conway Bay at 20 fms depth. Blake's journal also notes land collections.																							Phillip C. Heemstra														Mycteroperca olfax (Jenyns, 1840)							Animalia Chordata Craniata Acanthopterygii Gnathostomata Osteichthyes Neopterygii Actinopterygii Perciformes Serranoidei Serranidae Mycteroperca olfax	Animalia	Chordata		Perciformes		Serranidae				Mycteroperca	Mycteroperca			olfax			SPECIES			ICZN	ACCEPTED			4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2024-07-16T23:46:33.010Z						COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	2389031	2389031	1	44		587	8597	2388983		2389031	Mycteroperca olfax	Mycteroperca olfax (Jenyns, 1840)	Mycteroperca olfax		EML	2024-07-16T23:46:33.010Z	2024-07-16T22:44:34.127Z	true			false	LATIN_AMERICA	NORTH_AMERICA									VU
863105965				CC_BY_NC_4_0	2023-08-09T09:22:04Z		http://mczbase.mcz.harvard.edu/guid/MCZ:Ich:24199	President and Fellows of Harvard College		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ich		Museum of Comparative Zoology, Harvard University	PRESERVED_SPECIMEN			"{""age class"":""adult"", ""part of group"":""Hassler Expedition"", ""standard length"":""490mm""}"	MCZ:Ich:24199	24199		Hassler Expedition		1				Adult								unverified	PRESENT	whole animal (alcohol)	in collection					field number=HASS:ALBERM;group number=476	age class: adult; standard length: 490mm														HASS:ALBERM	1872-06-17/1872-06-18		169	170	1872	6		June 17, 72; June 18, 72									https://marineregions.org/mrgid/8742	Pacific Ocean: Pacific, Southeast		Pacific, Southeast			EC				Ecuador, Albemarle Island	Albermarle								-1.13508	-91.77205	151433.0	1.0E-5		decimal degrees					Andrew D. Williston		GEOLocate	GEOLocate	Georeferenced for waters off the west coast of Isabela Island (modern name for Albemarle)																							Phillip C. Heemstra														Mycteroperca olfax (Jenyns, 1840)							Animalia Chordata Craniata Acanthopterygii Gnathostomata Osteichthyes Neopterygii Actinopterygii Perciformes Serranoidei Serranidae Mycteroperca olfax	Animalia	Chordata		Perciformes		Serranidae				Mycteroperca	Mycteroperca			olfax			SPECIES			ICZN	ACCEPTED			4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2024-07-16T23:46:33.475Z						COUNTRY_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	2389031	2389031	1	44		587	8597	2388983		2389031	Mycteroperca olfax	Mycteroperca olfax (Jenyns, 1840)	Mycteroperca olfax		EML	2024-07-16T23:46:33.475Z	2024-07-16T22:44:34.127Z	true			false	LATIN_AMERICA	NORTH_AMERICA									VU
863105954				CC_BY_NC_4_0	2023-08-09T09:22:04Z		http://mczbase.mcz.harvard.edu/guid/MCZ:Ich:24197	President and Fellows of Harvard College		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ich		Museum of Comparative Zoology, Harvard University	PRESERVED_SPECIMEN			"{""age class"":""adult"", ""part of group"":""Hassler Expedition"", ""standard length"":""550mm""}"	MCZ:Ich:24197	24197		Hassler Expedition		2				Adult								unverified	PRESENT	whole animal (alcohol)	in collection					field number=HASS:GALAPA;group number=476	age class: adult; standard length: 550mm														HASS:GALAPA	1872-06-10/1872-06-18		162	170	1872	6		June 10 1872- June 18 1872									https://marineregions.org/mrgid/8742	Pacific Ocean: Pacific, Southeast		Pacific, Southeast			EC				Galápagos Archipelago	Galápagos Archipelago								-0.44884	-91.99164	453653.0	1.0E-5		decimal degrees					Andrew D. Williston		GEOLocate	GEOLocate	Georeferenced for vacinity of Galapagos Islands along the cruise track recorded by J.H. Blake in his Hassler Expedition Journal																							Phillip C. Heemstra					Only 1 of 2 specimens found in TR25-2 (ADW-2009).									Mycteroperca olfax (Jenyns, 1840)							Animalia Chordata Craniata Acanthopterygii Gnathostomata Osteichthyes Neopterygii Actinopterygii Perciformes Serranoidei Serranidae Mycteroperca olfax	Animalia	Chordata		Perciformes		Serranidae				Mycteroperca	Mycteroperca			olfax			SPECIES			ICZN	ACCEPTED			4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2024-07-16T23:46:32.749Z						COUNTRY_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	2389031	2389031	1	44		587	8597	2388983		2389031	Mycteroperca olfax	Mycteroperca olfax (Jenyns, 1840)	Mycteroperca olfax		EML	2024-07-16T23:46:32.749Z	2024-07-16T22:44:34.127Z	true			false	LATIN_AMERICA	NORTH_AMERICA									VU
863102015				CC_BY_NC_4_0	2023-08-09T09:21:39Z		http://mczbase.mcz.harvard.edu/guid/MCZ:Ich:10176	President and Fellows of Harvard College		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ich		Museum of Comparative Zoology, Harvard University	PRESERVED_SPECIMEN			"{""age class"":""adult"", ""part of group"":""Hassler Expedition"", ""standard length"":""475-505mm""}"	MCZ:Ich:10176	10176		Hassler Expedition		2				Adult								unverified	PRESENT	whole animal (alcohol)	in collection					field number=HASS:ALBERM;group number=476	age class: adult; standard length: 475-505mm														HASS:ALBERM	1872-06-17/1872-06-18		169	170	1872	6		June 17, 72; June 18, 72									https://marineregions.org/mrgid/8742	Pacific Ocean: Pacific, Southeast		Pacific, Southeast			EC				Ecuador, Albemarle Island	Albermarle								-1.13508	-91.77205	151433.0	1.0E-5		decimal degrees					Andrew D. Williston		GEOLocate	GEOLocate	Georeferenced for waters off the west coast of Isabela Island (modern name for Albemarle)																							Phillip C. Heemstra					1 ex. only found in as of 24 Jul 1991 & 2009.									Mycteroperca olfax (Jenyns, 1840)							Animalia Chordata Craniata Acanthopterygii Gnathostomata Osteichthyes Neopterygii Actinopterygii Perciformes Serranoidei Serranidae Mycteroperca olfax	Animalia	Chordata		Perciformes		Serranidae				Mycteroperca	Mycteroperca			olfax			SPECIES			ICZN	ACCEPTED			4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2024-07-16T23:46:31.541Z						COUNTRY_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	2389031	2389031	1	44		587	8597	2388983		2389031	Mycteroperca olfax	Mycteroperca olfax (Jenyns, 1840)	Mycteroperca olfax		EML	2024-07-16T23:46:31.541Z	2024-07-16T22:44:34.127Z	true			false	LATIN_AMERICA	NORTH_AMERICA									VU
863100891				CC_BY_NC_4_0	2023-08-09T16:53:53Z		http://mczbase.mcz.harvard.edu/guid/MCZ:Ich:10223	President and Fellows of Harvard College		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ich		Museum of Comparative Zoology, Harvard University	PRESERVED_SPECIMEN			"{""age class"":""adult"", ""part of group"":""Hassler Expedition"", ""standard length"":""410mm""}"	MCZ:Ich:10223	10223		Hassler Expedition		2				Adult								unknown	PRESENT	whole animal (alcohol)	in collection					field number=HASS:PAYTA;group number=476	age class: adult; standard length: 410mm														HASS:PAYTA	1872-05-05		126	126	1872	5	5	5/5/1872-5/5/1872										Pacific Ocean: Pacific, Southeast: Peru	SOUTH_AMERICA	Pacific, Southeast			PE				Paita	'Payta' [Paita]							Coordinates approximate.	-5.16	-81.14	115000.0	0.01		deg. min. sec.					[no agent data]		unknown	unknown	Lat. seconds and Long. seconds blank in MUSE (Fish). Set to 30, Maximum Error set to 115 km. in MCZbase																							Phillip C. Heemstra														Mycteroperca olfax (Jenyns, 1840)							Animalia Chordata Craniata Acanthopterygii Gnathostomata Osteichthyes Neopterygii Actinopterygii Perciformes Serranoidei Serranidae Mycteroperca olfax	Animalia	Chordata		Perciformes		Serranidae				Mycteroperca	Mycteroperca			olfax			SPECIES			ICZN	ACCEPTED			4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2024-07-16T23:51:21.953Z						GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	2389031	2389031	1	44		587	8597	2388983		2389031	Mycteroperca olfax	Mycteroperca olfax (Jenyns, 1840)	Mycteroperca olfax		EML	2024-07-16T23:51:21.953Z	2024-07-16T22:44:34.127Z	true			false	LATIN_AMERICA	NORTH_AMERICA	PER	Peru	PER.21_1	Piura	PER.21.4_1	Paita	PER.21.4.5_1	Paita	VU
863100848				CC_BY_NC_4_0	2024-06-03T16:06:41Z		http://mczbase.mcz.harvard.edu/guid/MCZ:Ich:10220	President and Fellows of Harvard College		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ich		Museum of Comparative Zoology, Harvard University	PRESERVED_SPECIMEN			"{""age class"":""adult"", ""part of group"":""MCZ Specimens from Singapore""}"	MCZ:Ich:10220	10220		William H. A. Putnam		1				Adult									PRESENT	whole animal (70% ethanol)	in collection					field number=CP:JAVA;group number=476;previous number=503	age class: adult														CP:JAVA	1858-07-01/1858-07-31		182	212	1858	7		0/7/1858-0/7/1858										Pacific Ocean		Pacific Ocean							'Penang, Singapore, & Batavia'	'Penang, Singapore, & Batavia'																																													Phillip C. Heemstra														Mycteroperca olfax (Jenyns, 1840)							Animalia Chordata Craniata Acanthopterygii Gnathostomata Osteichthyes Neopterygii Actinopterygii Perciformes Serranoidei Serranidae Mycteroperca olfax	Animalia	Chordata		Perciformes		Serranidae				Mycteroperca	Mycteroperca			olfax			SPECIES			ICZN	ACCEPTED			4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2024-07-16T23:46:31.776Z						INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		false	false	2389031	2389031	1	44		587	8597	2388983		2389031	Mycteroperca olfax	Mycteroperca olfax (Jenyns, 1840)	Mycteroperca olfax		EML	2024-07-16T23:46:31.776Z	2024-07-16T22:44:34.127Z				false		NORTH_AMERICA									VU
863100770				CC_BY_NC_4_0	2023-08-09T09:21:29Z		http://mczbase.mcz.harvard.edu/guid/MCZ:Ich:10229	President and Fellows of Harvard College		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ich		Museum of Comparative Zoology, Harvard University	PRESERVED_SPECIMEN			"{""age class"":""adult"", ""part of group"":""Hassler Expedition""}"	MCZ:Ich:10229	10229		Hassler Expedition		1				Adult								unverified	PRESENT	whole animal (alcohol)	unknown					field number=HASS:INDEFT;group number=476	age class: adult														HASS:INDEFT	1872-06-17/1872-06-18		169	170	1872	6		June 17, 72									https://marineregions.org/mrgid/8742	Pacific Ocean: Pacific, Southeast	SOUTH_AMERICA	Pacific, Southeast			EC				Galápagos Archipelago, Indefatigable Is.	Galápagos Archipelago, Indefatigable Is.								-0.53386	-90.54958		1.0E-5		decimal degrees					Andrew D. Williston		Google Earth	Blake Journal	Georeferenced for Conway Bay at 20 fms depth. Blake's journal also notes land collections.																							Ledger														Serranus olfax Jenyns, 1840							Animalia Chordata Craniata Acanthopterygii Gnathostomata Osteichthyes Neopterygii Actinopterygii Perciformes Serranoidei Serranidae Serranus olfax	Animalia	Chordata		Perciformes		Serranidae				Mycteroperca	Serranus			olfax			SPECIES			ICZN	SYNONYM			4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2024-07-16T23:46:31.548Z						COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	2389032	2389031	1	44		587	8597	2388983		2389031	Mycteroperca olfax	Mycteroperca olfax (Jenyns, 1840)	Serranus olfax Jenyns, 1840		EML	2024-07-16T23:46:31.548Z	2024-07-16T22:44:34.127Z	true			false	LATIN_AMERICA	NORTH_AMERICA									VU
666701317	https://www.fieldmuseum.org/field-museum-natural-history-conditions-and-suggested-norms-use-collections-data-and-images		en	CC0_1_0	2021-03-12T22:07:00Z			The Field Museum of Natural History	PhysicalObject			fishes-21-dec-2022	FMNH	Fishes		FMNH	PRESERVED_SPECIMEN				543d3474-8f81-49a7-ba35-1ede6b5a082c	41213		L. P. Woods		1													PRESENT								2021-03-12T16:07-0600	620903													LW-41-55	1941-01-20		20	20	1941	1	20		54239							f2c97c26-6c8c-4159-ac0a-2fb23eaaa9b3		Pacific, South America, Ecuador, Galapagos Islands, Tower Island: Darwin's Bay. [LL]	SOUTH_AMERICA		Galapagos Islands	Tower Island	EC	Galapagos			Darwin's Bay									0.305777	-89.955507																																																		Mycteroperca olfax (Jenyns, 1840)							Animalia Chordata Actinopterygii Perciformes Serranidae	Animalia	Chordata		Perciformes		Serranidae				Mycteroperca	Mycteroperca			olfax			SPECIES			ICZN	ACCEPTED			afc30a94-6107-488a-b9c0-ba9c4fa68b7c	US	2024-01-25T12:31:50.256Z						GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	2389031	2389031	1	44		587	8597	2388983		2389031	Mycteroperca olfax	Mycteroperca olfax (Jenyns, 1840)	Mycteroperca olfax		EML	2024-01-25T12:31:50.256Z	2023-01-05T15:43:18.817Z	true			false	LATIN_AMERICA	NORTH_AMERICA									VU
666683800	https://www.fieldmuseum.org/field-museum-natural-history-conditions-and-suggested-norms-use-collections-data-and-images		en	CC0_1_0	2022-06-03T23:35:00Z			The Field Museum of Natural History	PhysicalObject			fishes-21-dec-2022	FMNH	Fishes		FMNH	PRESERVED_SPECIMEN				e0ea692d-2e4b-473c-8e0b-a074b4d3355d	51379				3													PRESENT								2022-06-03T17:35-0600	630462													Z51379	1929				1929				101233							a5c18443-db27-4e40-9e9c-7b9f69229f71		Pacific, South America, Ecuador, Galapagos Islands, Indefatigable Island: Academy Bay	SOUTH_AMERICA		Galapagos Islands	Indefatigable Island	EC	Galapagos			Academy Bay																																																												Mycteroperca olfax (Jenyns, 1840)							Animalia Chordata Actinopterygii Perciformes Serranidae	Animalia	Chordata		Perciformes		Serranidae				Mycteroperca	Mycteroperca			olfax			SPECIES			ICZN	ACCEPTED			afc30a94-6107-488a-b9c0-ba9c4fa68b7c	US	2024-01-25T12:31:51.201Z						OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		false	false	2389031	2389031	1	44		587	8597	2388983		2389031	Mycteroperca olfax	Mycteroperca olfax (Jenyns, 1840)	Mycteroperca olfax		EML	2024-01-25T12:31:51.201Z	2023-01-05T15:43:18.817Z	true			false	LATIN_AMERICA	NORTH_AMERICA									VU
